127.0.0.1, 2024-02-23 16:39:14, GET, /admin/default/index, HTTP/1.1, 303, 0.003922
127.0.0.1, 2024-02-23 16:39:14, GET, /admin/default/site, HTTP/1.1, 200, 0.016985
127.0.0.1, 2024-02-23 16:39:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:39:16, GET, /School/default/index, HTTP/1.1, 200, 0.084256
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/js/jquery.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/css/calendar.css, HTTP/1.1, 200, 0.000998
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/js/web2py.js, HTTP/1.1, 200, 0.001994
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000997
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/js/calendar.js, HTTP/1.1, 200, 0.001995
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-02-23 16:39:16, GET, /School/static/images/favicon.ico, HTTP/1.1, 200, 0.001024
127.0.0.1, 2024-02-23 16:39:18, GET, /admin/default/index, HTTP/1.1, 303, 0.003988
127.0.0.1, 2024-02-23 16:39:18, GET, /admin/default/site, HTTP/1.1, 200, 0.014990
127.0.0.1, 2024-02-23 16:39:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-02-23 16:39:20, GET, /School/default/index, HTTP/1.1, 200, 0.043839
